<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^BDS,20140314,403.4000,406.0700,396.0200,400.5100,161881
^BDS,20140317,400.5100,413.6400,399.1200,412.0000,415066
^BDS,20140318,412.0000,414.1700,404.6800,407.9900,426294
^BDS,20140319,407.9900,413.2600,405.6500,410.0400,228844
^BDS,20140320,410.0400,413.6600,403.7400,404.8500,220179
^BDS,20140321,404.8500,415.2100,403.8300,413.8900,795270
^BDS,20140324,413.8900,417.2400,407.3600,414.2600,170746
^BDS,20140325,414.2600,416.1300,405.7700,406.0800,179116
^BDS,20140326,406.0800,409.1500,388.9700,392.7200,233752
^BDS,20140327,392.7200,398.6700,384.7500,398.1200,235832
^BDS,20140328,398.1200,402.5300,394.7600,395.1900,129334
^BDS,20140331,395.1900,401.2600,391.4600,392.4600,130623
^BDS,20140401,392.4600,392.9200,382.7400,385.1100,189280
^BDS,20140402,385.1100,387.8600,375.3000,383.4200,291431
^BDS,20140403,383.4200,394.1700,382.7800,390.8800,100287
^BDS,20140404,390.8800,394.6600,386.9300,390.7700,286246
^BDS,20140407,390.7700,395.0900,387.2200,388.7800,277258
^BDS,20140408,388.7800,390.3100,379.2000,380.6900,290421
^BDS,20140410,380.6900,389.3300,376.3500,379.5100,433692
^BDS,20140411,379.5100,380.8900,369.1800,373.4100,190871
^BDS,20140414,373.4100,374.1600,364.6700,369.3800,256233
^BDS,20140415,369.3800,374.5800,362.1000,365.2000,239869
^BDS,20140416,365.2000,366.3900,350.8700,355.5400,322681
^BDS,20140417,355.5400,364.5200,354.4100,358.9400,273713
^BDS,20140418,358.9400,359.1700,345.8500,348.6000,215941
^BDS,20140421,348.6000,352.7500,342.3600,346.3600,157906
^BDS,20140422,346.3600,355.9500,343.2200,355.3300,269557
^BDS,20140423,355.3300,364.8000,353.2600,358.4400,238792
^BDS,20140424,358.4400,361.4300,354.7000,358.9800,99653
^BDS,20140425,358.9800,362.1100,355.7700,358.9700,196585
^BDS,20140428,358.9700,359.4500,348.8100,351.5200,133682
^BDS,20140429,351.5200,356.5600,346.4100,350.0000,172922
^BDS,20140505,350.0000,350.5700,341.6800,342.7700,228957
^BDS,20140506,342.7700,342.8500,330.1400,338.4900,287136
^BDS,20140507,338.4900,345.7200,331.9400,342.6000,123685
^BDS,20140508,342.6000,343.1900,321.4200,330.9700,455622
^BDS,20140509,330.9700,338.5700,326.5500,337.4200,242855
^BDS,20140512,337.4200,337.4200,318.5400,327.1300,199915
^BDS,20140513,327.1300,329.0700,318.4900,327.1800,114826
^BDS,20140514,327.1800,340.5100,323.4600,338.3700,126800
^BDS,20140515,338.3700,345.3000,330.0200,338.9400,135497
^BDS,20140516,338.9400,346.1300,333.5700,343.6100,68542
^BDS,20140519,343.6100,354.2500,341.1000,353.3300,202145
^BDS,20140520,353.3300,354.4000,343.3500,351.8100,35338
^BDS,20140521,351.8100,358.0500,348.0700,355.2100,168737
^BDS,20140522,355.2100,357.6400,348.6800,349.9300,109849
^BDS,20140523,349.9300,355.0300,347.1900,350.9800,70195
^BDS,20140526,350.9800,357.2200,347.3700,354.2800,103455
^BDS,20140527,354.2800,356.0700,350.8100,354.8800,70753
^BDS,20140528,354.8800,356.1000,350.1600,353.2200,61116
^BDS,20140529,353.2200,358.5200,350.7600,354.4000,89924
^BDS,20140530,354.4000,361.4100,348.9800,360.0900,143134
^BDS,20140602,360.0900,360.9000,351.5900,355.2500,71325
^BDS,20140603,355.2500,356.5000,352.2700,353.7500,53541
^BDS,20140604,353.7500,354.3200,338.9800,342.4500,47519
^BDS,20140605,342.4500,347.7600,335.9200,344.5700,37598
^BDS,20140606,344.5700,348.6100,343.2000,346.1900,53976
^BDS,20140609,346.1900,353.2800,344.9000,352.6900,101177
^BDS,20140610,352.6900,353.3100,346.4600,349.7500,76933
^BDS,20140611,349.7500,353.3100,348.5600,350.0800,44635
^BDS,20140612,350.0800,353.3800,346.8200,347.7800,68808
^BDS,20140613,347.7800,351.0000,345.0600,345.6700,66440
^BDS,20140616,345.6700,348.6800,344.4000,347.2400,52755
^BDS,20140617,347.2400,348.3200,341.9500,345.9800,63228
^BDS,20140618,345.9800,349.3900,342.6900,348.3900,94485
^BDS,20140619,348.3900,348.4800,338.7200,340.7600,90447
^BDS,20140620,340.7600,348.8800,334.8200,336.2400,431467
^BDS,20140623,336.2400,343.8400,334.7700,340.1700,99968
^BDS,20140624,340.1700,342.9000,336.7700,340.1000,98998
^BDS,20140625,340.1000,345.8000,339.5700,345.1900,101972
^BDS,20140626,345.1900,348.5900,342.4500,345.8000,101050
^BDS,20140627,345.8000,346.3200,340.2700,341.6100,50922
^BDS,20140630,341.6100,344.3100,338.2100,343.2700,71475
^BDS,20140701,343.2700,347.8800,342.2100,345.0200,76829
^BDS,20140702,345.0200,348.6300,342.3000,345.9400,137449
^BDS,20140703,345.9400,352.9700,345.3200,352.2100,128490
^BDS,20140704,352.2100,357.1400,348.5300,356.2800,132441
^BDS,20140707,356.2800,376.6600,354.9300,375.2500,235982
^BDS,20140708,375.2500,392.5200,373.1300,377.0700,395622
^BDS,20140709,377.0700,380.2900,374.1900,375.3000,150421
^BDS,20140710,375.3000,375.5200,364.8100,367.8200,125873
^BDS,20140711,367.8200,370.3900,364.3100,367.0500,151683
^BDS,20140714,367.0500,372.3300,363.8200,367.8600,96343
^BDS,20140715,367.8600,372.9300,367.0000,370.1000,130906
^BDS,20140716,370.1000,373.8000,367.6200,370.6000,173516
^BDS,20140717,370.6000,371.4700,365.0100,367.0800,104794
^BDS,20140718,367.0800,377.4700,365.6100,372.5300,304502
^BDS,20140721,372.5300,382.7800,371.5300,374.1200,238141
^BDS,20140722,374.1200,376.9600,370.8000,372.1100,89195
^BDS,20140723,372.1100,375.0000,370.7900,371.4500,63299
^BDS,20140724,371.4500,376.7400,368.7200,373.9000,221302
^BDS,20140725,373.9000,389.7500,372.2300,383.2500,395310
^BDS,20140728,383.2500,383.4100,375.9700,377.2800,187961
^BDS,20140729,377.2800,382.6200,374.5100,381.7100,136010
^BDS,20140730,381.7100,385.3600,378.3400,381.9800,126116
^BDS,20140731,381.9800,390.0700,379.4300,387.2100,249780
^BDS,20140801,387.2100,396.0100,383.8400,392.9500,194007
^BDS,20140804,392.9500,406.9700,392.2500,404.2200,291468
^BDS,20140805,404.2200,406.2000,397.5100,401.0200,577196
^BDS,20140806,401.0200,418.6100,399.2800,413.2100,549979
^BDS,20140807,413.2100,414.2700,408.1200,411.8000,213785
^BDS,20140808,411.8000,413.1800,404.6400,408.1000,307359
^BDS,20140811,408.1000,408.3300,401.9000,407.2200,207696
^BDS,20140812,407.2200,419.9200,406.7000,419.0700,511936
^BDS,20140813,419.0700,421.6000,411.9700,419.1300,499139
^BDS,20140814,419.1300,424.7300,413.3700,420.7200,570314
^BDS,20140815,420.7200,425.8500,415.3500,415.9000,675774
^BDS,20140818,415.9000,424.0200,415.0100,418.2600,226993
^BDS,20140819,418.2600,423.9900,413.6900,417.4100,250969
^BDS,20140820,417.4100,421.6300,412.2800,413.7900,253855
^BDS,20140821,413.7900,419.2600,408.7000,415.7700,350252
^BDS,20140822,415.7700,429.3900,415.3300,424.1200,554518
^BDS,20140825,424.1200,435.6700,423.4900,431.8200,540033
^BDS,20140826,431.8200,455.6300,430.3000,454.5900,345133
^BDS,20140827,454.5900,472.6100,452.7500,455.4100,983011
^BDS,20140828,455.4100,457.0300,440.8900,445.7400,1034970
^BDS,20140829,445.7400,471.3700,441.5000,464.4300,983636
^BDS,20140903,464.4300,471.2400,457.4400,462.5200,1067405
^BDS,20140904,462.5200,464.5600,454.3500,460.1100,729432
^BDS,20140905,460.1100,461.6300,446.0300,447.8900,1557108
^BDS,20140908,447.8900,462.1400,445.8300,453.0400,502897
^BDS,20140909,453.0400,453.1300,435.6200,442.9600,669643
^BDS,20140910,442.9600,447.1400,430.8900,439.5600,1138603
^BDS,20140911,439.5600,448.5000,435.4600,438.4500,721249
^BDS,20140912,438.4500,450.1600,437.3700,445.9400,583867
^BDS,20140915,445.9400,450.1800,437.1400,437.8800,539606
^BDS,20140916,437.8800,438.9900,425.4700,437.9200,913185
^BDS,20140917,437.9200,442.3900,429.3400,437.5500,785527
^BDS,20140918,437.5500,438.6400,428.4400,435.8900,596500
^BDS,20140919,435.8900,443.7200,428.5700,435.3300,1189110
^BDS,20140922,435.3300,443.3100,434.6200,435.2000,317009
^BDS,20140923,435.2000,448.1600,434.9700,447.1300,617766
^BDS,20140924,447.1300,448.6300,439.6800,444.3100,500191
^BDS,20140925,444.3100,445.2800,419.7600,422.1000,2272657
^BDS,20140926,422.1000,431.6600,418.4000,419.5400,877636
^BDS,20140929,419.5400,421.1800,396.8900,400.4000,996595
^BDS,20140930,400.4000,402.1800,381.5700,397.4000,1524691
^BDS,20141001,397.4000,410.2700,397.1800,409.8900,784103
^BDS,20141002,409.8900,412.7400,403.6700,408.1500,921467
^BDS,20141003,408.1500,426.6700,402.6900,415.1200,1425739
^BDS,20141006,415.1200,430.0900,414.3600,422.0900,623184
^BDS,20141007,422.0900,428.0200,417.8000,420.1400,680056
^BDS,20141008,420.1400,423.4900,413.2800,414.0000,720382
^BDS,20141009,414.0000,418.6600,404.6400,405.5800,1312497
^BDS,20141010,405.5800,412.6900,400.7700,403.4300,703387
^BDS,20141013,403.4300,409.9600,402.5000,405.5900,462409
^BDS,20141014,405.5900,407.4700,398.0000,398.4600,723453
^BDS,20141015,398.4600,399.1400,391.0600,395.2600,729169
^BDS,20141016,395.2600,395.4000,379.7900,383.5700,1047128
^BDS,20141017,383.5700,388.8000,377.2500,384.6800,863359
^BDS,20141020,384.6800,397.2300,383.4900,388.6300,423516
^BDS,20141021,388.6300,403.1200,387.5900,402.0800,922945
^BDS,20141022,402.0800,407.2900,395.9600,397.7100,707790
^BDS,20141023,397.7100,399.7400,390.6400,390.8000,596914
