<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^DAUKHI,20170516,382.5100,395.9300,382.3000,391.6200,688360
^DAUKHI,20170517,391.6200,394.7600,386.9200,390.3900,373336
^DAUKHI,20170518,390.3900,399.1000,388.2400,396.7500,735758
^DAUKHI,20170519,396.7500,414.5700,396.7000,412.4100,1225882
^DAUKHI,20170522,412.4100,433.9800,412.2500,432.5000,1318444
^DAUKHI,20170523,432.5000,446.4200,429.3800,429.9800,736917
^DAUKHI,20170524,429.9800,431.1500,417.4700,424.2900,564017
^DAUKHI,20170525,424.2900,434.6600,422.8800,429.1900,745138
^DAUKHI,20170526,429.1900,429.5800,419.1800,421.3500,578093
^DAUKHI,20170529,421.3500,434.3400,420.5200,431.7200,541281
^DAUKHI,20170530,431.7200,438.1500,425.6800,428.4000,464172
^DAUKHI,20170531,428.4000,432.9900,422.2000,425.8600,403762
^DAUKHI,20170601,425.8600,429.7800,423.9900,426.7500,379370
^DAUKHI,20170602,426.7500,427.3800,417.1600,417.8200,706786
^DAUKHI,20170605,417.8200,426.7500,415.0300,423.9600,270838
^DAUKHI,20170606,423.9600,426.1800,421.7300,425.7300,306916
^DAUKHI,20170607,425.7300,430.3400,422.9800,424.9900,478191
^DAUKHI,20170608,424.9900,427.6900,418.3700,424.5500,393288
^DAUKHI,20170609,424.5500,432.0600,421.1500,426.8400,344918
^DAUKHI,20170612,426.8400,436.9200,424.9900,429.6100,412978
^DAUKHI,20170613,429.6100,436.1400,427.7300,433.6400,366426
^DAUKHI,20170614,433.6400,439.5400,429.8700,438.6200,758804
^DAUKHI,20170615,438.6200,440.4100,431.7000,435.6000,399497
^DAUKHI,20170616,435.6000,440.5700,433.4500,436.3100,698649
^DAUKHI,20170619,436.3100,445.7100,435.4900,443.2800,808486
^DAUKHI,20170620,443.2800,448.9100,440.2100,447.1300,665402
^DAUKHI,20170621,447.1300,453.0200,439.0100,450.5000,705583
^DAUKHI,20170622,450.5000,460.1100,446.3700,455.5700,629806
^DAUKHI,20170623,455.5700,464.1900,450.7400,460.2100,562527
^DAUKHI,20170626,460.2100,469.0600,459.2700,463.1700,466290
^DAUKHI,20170627,463.1700,468.2000,453.3500,455.1500,592913
^DAUKHI,20170628,455.1500,462.7000,450.4400,458.2200,504072
^DAUKHI,20170629,458.2200,464.6600,455.1700,461.0500,494989
^DAUKHI,20170630,461.0500,469.2500,459.2700,463.3500,831066
^DAUKHI,20170703,463.3500,470.8900,460.9600,467.7300,681224
^DAUKHI,20170704,467.7300,468.6700,456.5700,462.3300,492028
^DAUKHI,20170705,462.3300,472.1000,460.3700,469.7100,944412
^DAUKHI,20170706,469.7100,479.5200,465.1000,478.2600,706868
^DAUKHI,20170707,478.2600,480.0200,470.3100,473.6600,705927
^DAUKHI,20170710,473.6600,474.6100,465.5300,470.3600,813873
^DAUKHI,20170711,470.3600,472.0200,464.2900,470.5300,387264
^DAUKHI,20170712,470.5300,484.6300,470.0700,479.1800,951026
^DAUKHI,20170713,479.1800,489.4200,478.2100,486.2500,715766
^DAUKHI,20170714,486.2500,492.9800,484.3200,486.5300,577558
^DAUKHI,20170717,486.5300,488.6500,474.2900,476.3200,591829
^DAUKHI,20170718,476.3200,478.0200,468.2300,471.2700,463545
^DAUKHI,20170719,471.2700,482.8100,470.7200,480.0500,573793
^DAUKHI,20170720,480.0500,483.9600,469.1800,475.4700,327328
^DAUKHI,20170721,475.4700,481.1500,466.0100,466.9200,383602
^DAUKHI,20170724,466.9200,469.0200,450.9200,457.3500,602811
^DAUKHI,20170725,457.3500,468.9400,448.2300,466.2500,433058
^DAUKHI,20170726,466.2500,473.2700,464.4700,469.1100,348205
^DAUKHI,20170727,469.1100,469.9400,459.0600,461.7800,399993
^DAUKHI,20170728,461.7800,470.2500,459.1500,469.4200,345266
^DAUKHI,20170731,469.4200,475.8200,464.9800,470.1400,409075
^DAUKHI,20170801,470.1400,480.4000,467.2800,477.9300,800929
^DAUKHI,20170802,477.9300,481.5500,468.7500,476.4300,514778
^DAUKHI,20170803,476.4300,478.7100,472.3000,476.3600,438023
^DAUKHI,20170804,476.3600,480.6600,471.5000,476.2100,690190
^DAUKHI,20170807,476.2100,493.3900,474.0200,490.0800,818378
^DAUKHI,20170808,490.0800,499.6800,488.2400,492.4500,564455
^DAUKHI,20170809,492.4500,493.9500,477.3100,482.3300,541304
^DAUKHI,20170810,482.3300,484.7400,475.1100,479.4200,298461
^DAUKHI,20170811,479.4200,483.7800,468.1300,470.2300,409937
^DAUKHI,20170814,470.2300,478.4200,467.7100,476.4400,209581
^DAUKHI,20170815,476.4400,477.8700,469.9200,473.3000,275890
^DAUKHI,20170816,473.3000,481.0700,469.3700,479.2400,326667
^DAUKHI,20170817,479.2400,480.5300,472.5200,473.0800,291808
^DAUKHI,20170818,473.0800,475.8700,468.7700,473.4000,205221
^DAUKHI,20170821,473.4000,481.5500,473.0000,477.3200,358521
^DAUKHI,20170822,477.3200,479.6500,472.0700,473.7200,235198
^DAUKHI,20170823,473.7200,475.6900,471.2900,474.6700,157442
^DAUKHI,20170824,474.6700,481.6000,471.9200,478.4700,308594
^DAUKHI,20170825,478.4700,484.5300,477.1200,478.6700,227888
^DAUKHI,20170828,478.6700,488.9000,477.5700,487.4100,522393
^DAUKHI,20170829,487.4100,490.1200,481.6900,484.5200,332105
^DAUKHI,20170830,484.5200,488.1600,478.6500,481.9200,315210
^DAUKHI,20170831,481.9200,485.2100,477.4900,481.3400,332091
^DAUKHI,20170901,481.3400,489.1800,479.2400,484.7500,462110
^DAUKHI,20170905,484.7500,496.7100,484.2500,490.4500,550104
^DAUKHI,20170906,490.4500,496.2500,488.9000,492.3900,450421
^DAUKHI,20170907,492.3900,503.7500,491.0800,497.0500,671455
^DAUKHI,20170908,497.0500,507.3400,495.4100,500.6000,803714
^DAUKHI,20170911,500.6000,502.6100,492.2300,494.8900,515202
^DAUKHI,20170912,494.8900,497.6300,492.0300,496.4500,470651
^DAUKHI,20170913,496.4500,505.9600,496.2300,502.6500,698050
^DAUKHI,20170914,502.6500,523.6400,501.6000,511.6900,678807
^DAUKHI,20170915,511.6900,517.1500,507.7700,513.0500,795161
^DAUKHI,20170918,513.0500,515.6900,504.8800,507.8600,637562
^DAUKHI,20170919,507.8600,510.1600,491.8800,502.1700,719620
^DAUKHI,20170920,502.1700,502.5700,490.5300,498.3900,591644
^DAUKHI,20170921,498.3900,502.7100,492.0800,499.7600,361678
^DAUKHI,20170922,499.7600,505.3000,497.1900,502.6000,347626
^DAUKHI,20170925,502.6000,505.8400,499.9500,503.8000,190363
^DAUKHI,20170926,503.8000,512.6800,500.9200,507.9900,840198
