<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^THEP,20100611,362.5800,366.9800,360.7100,360.9500,90543
^THEP,20100614,360.9500,365.0100,360.9500,363.5500,142283
^THEP,20100615,363.5500,365.6500,361.8400,364.0000,238934
^THEP,20100616,364.0000,366.9200,362.9700,364.9200,204221
^THEP,20100617,364.9200,365.0000,355.9900,359.6000,225787
^THEP,20100618,359.6000,361.8500,357.3600,360.8700,509958
^THEP,20100621,360.8700,369.8400,357.8300,360.1600,218785
^THEP,20100622,360.1600,361.1000,357.0500,358.7500,240984
^THEP,20100623,358.7500,360.4000,357.7900,358.9100,85147
^THEP,20100624,358.9100,359.9900,354.4400,355.5900,219459
^THEP,20100625,355.5900,359.3800,350.7500,354.7800,223295
^THEP,20100628,354.7800,359.4900,347.6800,356.0600,160836
^THEP,20100629,356.0600,359.1900,353.3400,354.3100,242820
^THEP,20100630,354.3100,358.2900,342.8200,349.7300,209992
^THEP,20100701,349.7300,350.6800,343.0200,343.1800,89257
^THEP,20100702,343.1800,344.8300,340.1200,342.7300,334629
^THEP,20100705,342.7300,351.2500,340.3000,350.5500,242829
^THEP,20100706,350.5500,350.6500,339.9500,340.6100,192296
^THEP,20100707,340.6100,342.2300,335.6900,335.7500,112439
^THEP,20100708,335.7500,342.3400,334.3900,338.6200,141982
^THEP,20100709,338.6200,342.0600,336.2400,340.4900,227760
^THEP,20100712,340.4900,342.5000,332.2500,340.6800,233351
^THEP,20100713,340.6800,351.9400,336.8100,350.5200,308539
^THEP,20100714,350.5200,351.5100,342.8100,347.4900,248173
^THEP,20100715,347.4900,350.3400,343.1100,346.6700,161629
^THEP,20100716,346.6700,348.9100,342.2400,347.0800,150533
^THEP,20100719,347.0800,353.3200,344.5600,348.5400,192028
^THEP,20100720,348.5400,351.9700,343.6000,348.5100,144945
^THEP,20100721,348.5100,350.2400,344.4200,345.3900,172712
^THEP,20100722,345.3900,350.9800,340.4600,347.0600,104442
^THEP,20100723,347.0600,347.5500,344.1300,344.6600,223979
^THEP,20100726,344.6600,345.8600,340.7800,344.8400,142285
^THEP,20100727,344.8400,346.1600,341.4300,342.8500,408208
^THEP,20100728,342.8500,343.4400,333.0500,333.6400,275519
^THEP,20100729,333.6400,338.1600,326.9300,329.6000,397218
